gene,weight
PDCD4,1
ACSS1,1
HEXB,1
CTSL,1
RENBP,1
DPP7,1
LY6G6E,1
AUH,1
HEXA,1
CCNG2,1
YPEL2,1
SPRY1,1
APOE,1
ALDH6A1,1
LDHA,-1
PPA1,-1
S100A6,-1
PA2G4,-1
RANBP1,-1
SMS,-1
PHGDH,-1
NAA10,-1
ID3,-1
PLAC8,-1
POLR2I,-1
NUDC,-1
TMEM258,-1
ANAPC15,-1
RAN,-1
ATP5J2,-1
CITED1,-1
MGMT,-1
PRDX2,-1
P4HB,-1
MRPL20,-1
HMGA1,-1
RUVBL2,-1
NDUFC1,-1
MRPL13,-1
HSPE1,-1
MRPS18A,-1
UQCRQ,-1
MRPL18,-1
PSMB3,-1
SEC13,-1
CAPG,-1
GATSL3,-1
TK1,-1
ZCCHC17,-1
PGAM1,-1
RPL41,-1
DAD1,-1
DUSP14,-1
EIF2B2,-1
POLR2L,-1
UCHL1,-1
UQCC2,-1
SLC25A5,-1
PHB,-1
TMEM97,-1
TOMM40L,-1
TIPIN,-1
ARPC1B,-1
PHF5A,-1
SNRPE,-1
SSSCA1,-1
PSMD13,-1
RPS27L,-1
DPH3,-1
RPS19BP1,-1
THOP1,-1
UQCR10,-1
NABP2,-1
CDC34,-1
PELO,-1
CCNE1,-1
FAM118B,-1
SAC3D1,-1
DCTPP1,-1
MDH2,-1
GFER,-1
INO80E,-1
LRRC42,-1
MRPL52,-1
HDLBP,-1
CENPM,-1
YKT6,-1
PSMB6,-1
PMF1,-1
GNG10,-1
PEBP1,-1
CYB5B,-1
EXOSC2,-1
PSMG3,-1
BYSL,-1
ELOF1,-1
ANKRD37,-1
DGCR6,-1
ASB6,-1
CCDC124,-1
RCL1,-1
MRPS11,-1
PSMD14,-1
PRADC1,-1
HILPDA,-1
PSMB4,-1
NDUFS8,-1
MRPL12,-1
TMEM109,-1
UBE2V1,-1
SEPW1,-1
EXOSC4,-1
ATOX1,-1
DRG2,-1
PSMB10,-1
ATP5G1,-1
CETN2,-1
SNRPD2,-1
TMEM39B,-1
TOMM40,-1
PDCD5,-1
EIF3B,-1
CCDC28B,-1
BRMS1,-1